id_match,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,score_differential,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4,month,day_of_week,year
2036296,Qualifiers,1,ARM,-3.0,70000,TUR,1.7,5515,1,2,-1,14125,40.1719306,44.5256806,105,68,0,3,5,2023
2036365,Qualifiers,1,ARM,-3.0,70000,LVA,-3.0,70000,2,1,1,13450,40.1719306,44.5256806,105,68,0,6,0,2023
2034511,Nations,1,ARM,-3.0,70000,SCO,-2.4,20868,1,4,-3,13500,40.1719306,44.5256806,105,68,0,6,1,2022
2034436,Nations,0,ARM,-3.0,70000,SCO,-2.4,20868,0,2,-2,38627,55.8258583,-4.2519417,105,68,0,6,2,2022
2036481,Qualifiers,1,ARM,-3.0,70000,WAL,-3.0,70000,1,1,0,14271,40.1719306,44.5256806,105,68,0,11,5,2023
2034484,Nations,0,ARM,-3.0,70000,UKR,-0.3,20062,0,3,-3,12503,51.757448,19.426582,105,68,0,6,5,2022
2040205,Friendlies,0,ARM,-3.0,70000,SVN,-0.6,18358,1,2,-1,8389,46.080641,14.52444,105,68,0,6,1,2024
2036435,Qualifiers,0,ARM,-3.0,70000,LVA,-3.0,70000,0,2,-2,5128,56.961378,24.116383,105,68,0,10,3,2023
2034530,Nations,1,ARM,-3.0,70000,UKR,-0.3,20062,0,5,-5,7200,40.1719306,44.5256806,105,68,0,9,5,2022
2039987,Friendlies,0,ARM,-3.0,70000,CZE,-1.4,15861,1,2,-1,16158,50.1000389,14.4151306,105,68,0,3,1,2024
2034457,Nations,1,ARM,-3.0,70000,IRL,-3.0,70000,1,0,1,10600,40.1719306,44.5256806,105,68,0,6,5,2022
2037512,Friendlies,1,ARM,-3.0,70000,CYP,-3.0,70000,2,2,0,21425,40.1719306,44.5256806,105,68,0,3,1,2023
2034559,Nations,0,ARM,-3.0,70000,IRL,-3.0,70000,2,3,-1,41719,53.335691,-6.228819,105,68,0,9,1,2022
2036411,Qualifiers,1,ARM,-3.0,70000,CRO,1.3,9340,0,1,-1,14233,40.1719306,44.5256806,105,68,0,9,0,2023
2036503,Qualifiers,0,ARM,-3.0,70000,CRO,1.3,9340,0,1,-1,20398,45.8188722,16.0180528,105,68,0,11,1,2023
2038798,Friendlies,0,AUS,-3.0,70000,ENG,0.3,451,0,1,-1,21425,51.5558417,-0.2795972,105,68,0,10,4,2023
2036324,Qualifiers,1,AUT,-1.2,6048,EST,-3.0,70000,2,1,1,16500,48.292726,14.275684,105,68,0,3,0,2023
2034509,Nations,0,AUT,-1.2,6048,DEN,0.6,5264,0,2,-2,35230,55.7027611,12.572275,105,68,0,6,0,2022
2036461,Qualifiers,0,AUT,-1.2,6048,AZE,-3.0,70000,1,0,1,4446,40.3973806,49.8523917,105,68,0,10,0,2023
2036369,Qualifiers,1,AUT,-1.2,6048,SWE,-3.0,70000,2,0,2,46300,48.2071889,16.4205083,105,68,0,6,1,2023
2036301,Qualifiers,1,AUT,-1.2,6048,AZE,-3.0,70000,4,1,3,16500,48.292726,14.275684,105,68,0,3,4,2023
2036484,Qualifiers,0,AUT,-1.2,6048,EST,-3.0,70000,2,0,2,4488,59.4213583,24.7321556,105,68,0,11,3,2023
2039097,Friendlies,1,AUT,-1.2,6048,GER,2.5,398,2,0,2,46000,48.2071889,16.4205083,105,68,0,11,1,2023
2034478,Nations,1,AUT,-1.2,6048,FRA,1.2,401,1,1,0,44800,48.2071889,16.4205083,105,68,0,6,4,2022
2040265,Friendlies,0,AUT,-1.2,6048,SUI,1.4,4995,1,1,0,21425,47.4070194,9.3041861,105,68,0,6,5,2024
2036347,Qualifiers,0,AUT,-1.2,6048,BEL,1.1,2488,1,1,0,39237,50.8957583,4.3339472,105,68,0,6,5,2023
2038897,Friendlies,1,AUT,-1.2,6048,MDA,-3.0,70000,1,1,0,13200,48.292726,14.275684,105,68,0,9,3,2023
2034520,Nations,0,AUT,-1.2,6048,FRA,1.2,401,0,2,-2,70188,48.9245472,2.3600667,105,68,0,9,3,2022
2040203,Friendlies,1,AUT,-1.2,6048,TUR,1.7,5515,6,1,5,21425,48.2071889,16.4205083,105,68,0,3,1,2024
2034426,Nations,0,AUT,-1.2,6048,CRO,1.3,9340,3,0,3,13994,45.544953,18.695683,105,68,0,6,4,2022
2034451,Nations,1,AUT,-1.2,6048,DEN,0.6,5264,1,2,-1,18700,48.2071889,16.4205083,105,68,0,6,0,2022
2036438,Qualifiers,1,AUT,-1.2,6048,BEL,1.1,2488,2,3,-1,47000,48.2071889,16.4205083,105,68,0,10,4,2023
2036416,Qualifiers,0,AUT,-1.2,6048,SWE,-3.0,70000,3,1,2,43228,59.3725,18.0,105,68,0,9,1,2023
