id_match,date,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4
2036481,11/18/2023,Qualifiers,1,ARM,-3,70000,WAL,-3,70000,1,1,14271,40.1719306,44.5256806,105,68,0
2034484,6/11/2022,Nations,0,ARM,-3,70000,UKR,-0.3,20062,0,3,12503,51.757448,19.426582,105,68,0
2040205,6/4/2024,Friendlies,0,ARM,-3,70000,SVN,-0.6,18358,1,2,8389,46.080641,14.52444,105,68,0
2036435,10/12/2023,Qualifiers,0,ARM,-3,70000,LVA,-3,70000,0,2,5128,56.961378,24.116383,105,68,0
2034530,9/24/2022,Nations,1,ARM,-3,70000,UKR,-0.3,20062,0,5,7200,40.1719306,44.5256806,105,68,0
2039987,3/26/2024,Friendlies,0,ARM,-3,70000,CZE,-1.4,15861,1,2,16158,50.1000389,14.4151306,105,68,0
2034457,6/4/2022,Nations,1,ARM,-3,70000,IRL,-3,70000,1,0,10600,40.1719306,44.5256806,105,68,0
2037512,3/28/2023,Friendlies,1,ARM,-3,70000,CYP,-3,70000,2,2,21425,40.1719306,44.5256806,105,68,0
2034559,9/27/2022,Nations,0,ARM,-3,70000,IRL,-3,70000,2,3,41719,53.335691,-6.228819,105,68,0
2036411,9/11/2023,Qualifiers,1,ARM,-3,70000,CRO,1.3,9340,0,1,14233,40.1719306,44.5256806,105,68,0
2036503,11/21/2023,Qualifiers,0,ARM,-3,70000,CRO,1.3,9340,0,1,20398,45.8188722,16.0180528,105,68,0
2038798,10/13/2023,Friendlies,0,AUS,-3,70000,ENG,0.3,451,0,1,21425,51.5558417,-0.2795972,105,68,0
2036324,3/27/2023,Qualifiers,1,AUT,-1.2,6048,EST,-3,70000,2,1,16500,48.292726,14.275684,105,68,0
2034509,6/13/2022,Nations,0,AUT,-1.2,6048,DEN,0.6,5264,0,2,35230,55.7027611,12.572275,105,68,0
2036461,10/16/2023,Qualifiers,0,AUT,-1.2,6048,AZE,-3,70000,1,0,4446,40.3973806,49.8523917,105,68,0
2036369,6/20/2023,Qualifiers,1,AUT,-1.2,6048,SWE,-3,70000,2,0,46300,48.2071889,16.4205083,105,68,0
2036301,3/24/2023,Qualifiers,1,AUT,-1.2,6048,AZE,-3,70000,4,1,16500,48.292726,14.275684,105,68,0
