id_match,team_code,team_xG,team_odds,opponent_xG,opponent_odds,team_score,opponent_score,team_penalty,opponent_penalty,home_score_total,away_score_total,date,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,penalties_missed,penalties,source,target_top_4,opponent_code,home_or_away
2036399.0,AND,-3,70000,-3,70000.0,0.0,0.0,,,0.0,0.0,9/9/2023,1026.0,42.504689,1.517462,105,67,,,Qualifiers,0.0,BLR,home
2036515.0,AND,-3,70000,-3,70000.0,0.0,2.0,,,0.0,2.0,11/21/2023,568.0,42.504689,1.517462,105,67,,,Qualifiers,0.0,ISR,home
2036446.0,AND,-3,70000,-3,70000.0,0.0,3.0,,,0.0,3.0,10/12/2023,1207.0,42.504689,1.517462,105,67,,,Qualifiers,0.0,KOS,home
2036353.0,AND,-3,70000,1.4,4995.0,1.0,2.0,,,1.0,2.0,6/16/2023,2490.0,42.504689,1.517462,105,67,,,Qualifiers,0.0,SUI,home
2036309.0,AND,-3,70000,0.3,12509.0,0.0,2.0,,,0.0,2.0,3/25/2023,2927.0,42.504689,1.517462,105,67,,,Qualifiers,0.0,ROU,home
2034802.0,ARG,-3,70000,-3,70000.0,5.0,0.0,,,5.0,0.0,6/5/2022,0.0,42.7966472,-1.636975,105,67,,,Friendlies,0.0,EST,home
2039018.0,ARM,-3,70000,-3,70000.0,3.0,1.0,,,3.0,1.0,10/17/2023,2075.0,41.4460167,22.6379139,105,68,,,Friendlies,0.0,MKD,away
2036342.0,ARM,-3,70000,-3,70000.0,2.0,4.0,,,2.0,4.0,6/16/2023,32774.0,51.474537,-3.200818,105,68,,,Qualifiers,0.0,WAL,away
2040208.0,ARM,-3,70000,-3,70000.0,2.0,1.0,,,2.0,1.0,6/7/2024,,40.1719306,44.5256806,105,68,,,Friendlies,0.0,KAZ,home
2036389.0,ARM,1.7,5515,-3,70000.0,1.0,1.0,,,1.0,1.0,9/8/2023,31740.0,39.7632,30.467329,105,68,,,Qualifiers,0.0,TUR,away
2040199.0,ARM,-3,70000,-3,70000.0,0.0,1.0,,,0.0,1.0,3/22/2024,,40.1719306,44.5256806,105,68,,,Friendlies,0.0,KOS,home
2036296.0,ARM,-3,70000,1.7,5515.0,1.0,2.0,,,1.0,2.0,3/25/2023,14125.0,40.1719306,44.5256806,105,68,,,Qualifiers,0.0,TUR,home
2036365.0,ARM,-3,70000,-3,70000.0,2.0,1.0,,,2.0,1.0,6/19/2023,13450.0,40.1719306,44.5256806,105,68,,,Qualifiers,0.0,LVA,home
2034511.0,ARM,-3,70000,-2.4,20868.0,1.0,4.0,,,1.0,4.0,6/14/2022,13500.0,40.1719306,44.5256806,105,68,,,Nations,0.0,SCO,home
2034436.0,ARM,-2.4,20868,-3,70000.0,2.0,0.0,,,2.0,0.0,6/8/2022,38627.0,55.8258583,-4.2519417,105,68,,,Nations,0.0,SCO,away
2036481.0,ARM,-3,70000,-3,70000.0,1.0,1.0,,,1.0,1.0,11/18/2023,14271.0,40.1719306,44.5256806,105,68,,,Qualifiers,0.0,WAL,home
2034484.0,ARM,-0.3,20062,-3,70000.0,3.0,0.0,,,3.0,0.0,6/11/2022,12503.0,51.757448,19.426582,105,68,,,Nations,0.0,UKR,away
2040205.0,ARM,-0.6,18358,-3,70000.0,2.0,1.0,,,2.0,1.0,6/4/2024,8389.0,46.080641,14.52444,105,68,,,Friendlies,0.0,SVN,away
2036435.0,ARM,-3,70000,-3,70000.0,2.0,0.0,,,2.0,0.0,10/12/2023,5128.0,56.961378,24.116383,105,68,,,Qualifiers,0.0,LVA,away
2034530.0,ARM,-3,70000,-0.3,20062.0,0.0,5.0,,,0.0,5.0,9/24/2022,7200.0,40.1719306,44.5256806,105,68,,,Nations,0.0,UKR,home
2039987.0,ARM,-1.4,15861,-3,70000.0,2.0,1.0,,,2.0,1.0,3/26/2024,16158.0,50.1000389,14.4151306,105,68,,,Friendlies,0.0,CZE,away
2034457.0,ARM,-3,70000,-3,70000.0,1.0,0.0,,,1.0,0.0,6/4/2022,10600.0,40.1719306,44.5256806,105,68,,,Nations,0.0,IRL,home
2037512.0,ARM,-3,70000,-3,70000.0,2.0,2.0,,,2.0,2.0,3/28/2023,,40.1719306,44.5256806,105,68,,,Friendlies,0.0,CYP,home
2034559.0,ARM,-3,70000,-3,70000.0,3.0,2.0,,,3.0,2.0,9/27/2022,41719.0,53.335691,-6.228819,105,68,,,Nations,0.0,IRL,away
2036411.0,ARM,-3,70000,1.3,9340.0,0.0,1.0,,,0.0,1.0,9/11/2023,14233.0,40.1719306,44.5256806,105,68,,,Qualifiers,0.0,CRO,home
2036503.0,ARM,1.3,9340,-3,70000.0,1.0,0.0,,,1.0,0.0,11/21/2023,20398.0,45.8188722,16.0180528,105,68,,,Qualifiers,0.0,CRO,away
2038798.0,AUS,0.3,451,-3,70000.0,1.0,0.0,,,1.0,0.0,10/13/2023,,51.5558417,-0.2795972,105,68,,,Friendlies,1.0,ENG,away
2036324.0,AUT,-1.2,6048,-3,70000.0,2.0,1.0,,,2.0,1.0,3/27/2023,16500.0,48.292726,14.275684,105,68,"[{'phase': 'FIRST_HALF', 'time': {'minute': 17, 'second': 30}, 'international_name': 'Michael Gregoritsch', 'club_shirt_name': 'Gregoritsch', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'MISSED'}]",,Qualifiers,0.0,EST,home
2034509.0,AUT,0.6,5264,-1.2,6048.0,2.0,0.0,,,2.0,0.0,6/13/2022,35230.0,55.7027611,12.572275,105,68,,,Nations,0.0,DEN,away
2036461.0,AUT,-3,70000,-1.2,6048.0,0.0,1.0,,,0.0,1.0,10/16/2023,4446.0,40.3973806,49.8523917,105,68,,,Qualifiers,0.0,AZE,away
2036369.0,AUT,-1.2,6048,-3,70000.0,2.0,0.0,,,2.0,0.0,6/20/2023,46300.0,48.2071889,16.4205083,105,68,,,Qualifiers,0.0,SWE,home
2036301.0,AUT,-1.2,6048,-3,70000.0,4.0,1.0,,,4.0,1.0,3/24/2023,16500.0,48.292726,14.275684,105,68,,,Qualifiers,0.0,AZE,home
2036484.0,AUT,-3,70000,-1.2,6048.0,0.0,2.0,,,0.0,2.0,11/16/2023,4488.0,59.4213583,24.7321556,105,68,,,Qualifiers,0.0,EST,away
2039097.0,AUT,-1.2,6048,2.5,398.0,2.0,0.0,,,2.0,0.0,11/21/2023,46000.0,48.2071889,16.4205083,105,68,,,Friendlies,0.0,GER,home
2034478.0,AUT,-1.2,6048,1.2,401.0,1.0,1.0,,,1.0,1.0,6/10/2022,44800.0,48.2071889,16.4205083,105,68,,,Nations,0.0,FRA,home
2040265.0,AUT,1.4,4995,-1.2,6048.0,1.0,1.0,,,1.0,1.0,6/8/2024,,47.4070194,9.3041861,105,68,,,Friendlies,0.0,SUI,away
2036347.0,AUT,1.1,2488,-1.2,6048.0,1.0,1.0,,,1.0,1.0,6/17/2023,39237.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,BEL,away
2038897.0,AUT,-1.2,6048,-3,70000.0,1.0,1.0,,,1.0,1.0,9/7/2023,13200.0,48.292726,14.275684,105,68,,,Friendlies,0.0,MDA,home
2034520.0,AUT,1.2,401,-1.2,6048.0,2.0,0.0,,,2.0,0.0,9/22/2022,70188.0,48.9245472,2.3600667,105,68,,,Nations,1.0,FRA,away
2040203.0,AUT,-1.2,6048,1.7,5515.0,6.0,1.0,,,6.0,1.0,3/26/2024,,48.2071889,16.4205083,105,68,,,Friendlies,0.0,TUR,home
2034426.0,AUT,1.3,9340,-1.2,6048.0,0.0,3.0,,,0.0,3.0,6/3/2022,13994.0,45.544953,18.695683,105,68,,,Nations,0.0,CRO,away
2034451.0,AUT,-1.2,6048,0.6,5264.0,1.0,2.0,,,1.0,2.0,6/6/2022,18700.0,48.2071889,16.4205083,105,68,,,Nations,0.0,DEN,home
2036438.0,AUT,-1.2,6048,1.1,2488.0,2.0,3.0,,,2.0,3.0,10/13/2023,47000.0,48.2071889,16.4205083,105,68,,,Qualifiers,0.0,BEL,home
2036416.0,AUT,-3,70000,-1.2,6048.0,1.0,3.0,,,1.0,3.0,9/12/2023,43228.0,59.3725,18.0,105,68,,,Qualifiers,0.0,SWE,away
2034552.0,AUT,-1.2,6048,1.3,9340.0,1.0,3.0,,,1.0,3.0,9/25/2022,45700.0,48.2071889,16.4205083,105,68,,,Nations,0.0,CRO,home
2040260.0,AUT,-1.2,6048,-0.3,15858.0,2.0,1.0,,,2.0,1.0,6/4/2024,,48.2071889,16.4205083,105,68,,,Friendlies,0.0,SRB,home
2039978.0,AUT,-1.1,15850,-1.2,6048.0,0.0,2.0,,,0.0,2.0,3/23/2024,9912.0,48.17758,17.154043,105,68,,,Friendlies,0.0,SVK,away
2036507.0,AZE,1.1,2488,-3,70000.0,5.0,0.0,,,5.0,0.0,11/19/2023,30276.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,BEL,away
2036301.0,AZE,-1.2,6048,-3,70000.0,4.0,1.0,,,4.0,1.0,3/24/2023,16500.0,48.292726,14.275684,105,68,,,Qualifiers,0.0,AUT,away
2036346.0,AZE,-3,70000,-3,70000.0,1.0,1.0,,,1.0,1.0,6/17/2023,3900.0,40.481058,50.145446,105,68,,,Qualifiers,0.0,EST,home
2036439.0,AZE,-3,70000,-3,70000.0,0.0,2.0,,,0.0,2.0,10/13/2023,5652.0,59.4213583,24.7321556,105,68,,,Qualifiers,0.0,EST,away
2034524.0,AZE,-1.1,15850,-3,70000.0,1.0,2.0,,,1.0,2.0,9/22/2022,2875.0,48.3738444,17.5916278,105,68,,,Nations,0.0,SVK,away
2040797.0,AZE,-3,70000,-3,70000.0,3.0,2.0,,,3.0,2.0,6/11/2024,,47.2348111,16.6069583,105,68,,,Friendlies,0.0,KAZ,home
