home_or_away,team_xG,team_odds,opponent_xG,opponent_odds,team_score,opponent_score,score_differential,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,month,day_of_week,year,cluster
1.0,-0.2868511222570831,0.08741721654215662,0.17960732700307383,-1.0046514032363043,1.1234803023157216,-0.9748486669899064,1.309975867035934,-0.0309503076499334,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,1.1818973258599348,0.008834763429163173,0.1141767962932194,1
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.9748486669899064,1.1234803023157216,-1.309975867035934,-2.5021074503744155e-06,-0.20547037065286333,-0.2741782746070531,0.07580980435791836,0.10864798426879106,-1.4670663776111597,0.5035815154623027,1.5350435946094132,5
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,0.42403731254717897,-0.9748486669899064,0.8733172446906228,-0.2554437395870396,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,1.1818973258599348,-0.9806587406371158,0.1141767962932194,3
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.9748486669899064,-0.9748486669899064,0.0,-2.5021074503744155e-06,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,-0.33179621898069056,-1.4754054926702551,-1.3066900020229744,3
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.2754056772213637,-0.2754056772213637,0.0,-0.769128574890616,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,0.8034739396497785,-0.9806587406371158,-1.3066900020229744,3
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.2754056772213637,0.42403731254717897,-0.4366586223453114,-0.20256441830578906,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,-0.33179621898069056,0.5035815154623027,-1.3066900020229744,3
1.0,-0.2868511222570831,0.08741721654215662,0.9376023070508285,-0.9484855776354063,0.42403731254717897,-0.9748486669899064,0.8733172446906228,0.028934914492312294,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,0.8034739396497785,1.4930750195285816,0.1141767962932194,3
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,0.42403731254717897,-0.9748486669899064,0.8733172446906228,-0.029305443969525835,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,-0.33179621898069056,0.9983282674954421,0.1141767962932194,1
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.9748486669899064,-0.9748486669899064,0.0,0.0018860450811657157,-0.5748181630156504,0.3190443107390252,0.07580980435791836,0.10864798426879106,1.5603207120700913,-1.4754054926702551,0.1141767962932194,3
-1.0,-0.2868511222570831,0.08741721654215662,0.17960732700307383,-1.0046514032363043,-0.2754056772213637,-0.2754056772213637,0.0,-0.16960622382058568,0.35467362120175777,-0.015694116774733244,0.07580980435791836,0.10864798426879106,0.8034739396497785,0.008834763429163173,0.1141767962932194,0
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,1.1234803023157216,-0.9748486669899064,1.309975867035934,-2.5021074503744155e-06,0.05373453162615206,0.11785638363797288,0.07580980435791836,0.10864798426879106,-0.33179621898069056,-1.4754054926702551,1.5350435946094132,5
-1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.2754056772213637,-0.2754056772213637,0.0,-0.7242298885031948,0.026698506415325982,0.8846562292712448,0.07580980435791836,0.10864798426879106,1.5603207120700913,0.5035815154623027,0.1141767962932194,3
-1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,1.1234803023157216,-0.2754056772213637,0.8733172446906228,-1.1525036541796823,1.624408754357271,-1.344621584012855,0.07580980435791836,0.10864798426879106,-0.33179621898069056,-0.9806587406371158,0.1141767962932194,1
1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,1.1234803023157216,-0.2754056772213637,0.8733172446906228,-2.5021074503744155e-06,0.05373453162615206,0.11785638363797288,0.07580980435791836,0.10864798426879106,-0.33179621898069056,0.5035815154623027,1.5350435946094132,5
-1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.2754056772213637,-0.2754056772213637,0.0,-1.059538395798129,1.850102083781006,-2.2890230807456,0.07580980435791836,0.10864798426879106,-0.33179621898069056,-1.4754054926702551,-1.3066900020229744,3
-1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.2754056772213637,0.42403731254717897,-0.4366586223453114,0.47365731697287544,-1.5592906483206892,1.2532237922694847,0.07580980435791836,0.10864798426879106,0.8034739396497785,0.9983282674954421,-1.3066900020229744,3
-1.0,-0.2868511222570831,0.08741721654215662,-0.7533095715172398,0.8085636428024633,-0.9748486669899064,-0.2754056772213637,-0.4366586223453114,-2.5021074503744155e-06,1.3432292179240695,0.2049759519146131,0.07580980435791836,0.10864798426879106,-1.4670663776111597,-1.4754054926702551,1.5350435946094132,5
-1.0,-0.2868511222570831,0.08741721654215662,0.9376023070508285,-0.9484855776354063,-0.9748486669899064,-0.2754056772213637,-0.4366586223453114,2.1201658610608454,0.5854171759740112,0.39546259545300905,0.07580980435791836,0.10864798426879106,-1.4670663776111597,-1.4754054926702551,0.1141767962932194,0
